"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn55262985","LSIL (75).jpg","1","image/jpeg","123386","3489646","1712372058818","3489646","1712372058818","syn55262661","https://www.synapse.org/#!Synapse:syn55262985.1","8a7c902a32da6970527bc3689bcf7ed2"
"syn55262995","LSIL (85).jpg","1","image/jpeg","137200","3489646","1712372074317","3489646","1712372074317","syn55262661","https://www.synapse.org/#!Synapse:syn55262995.1","e05c7ee420d75df74f7ddbccf62d0942"
"syn55263227","HSIL (51).jpg","1","image/jpeg","137765","3489646","1712373615910","3489646","1712373615910","syn55262661","https://www.synapse.org/#!Synapse:syn55263227.1","30367d1aeeebb9e49b7a49982ffd2e1d"
"syn55263003","LSIL (93).jpg","1","image/jpeg","141394","3489646","1712372086417","3489646","1712372086417","syn55262661","https://www.synapse.org/#!Synapse:syn55263003.1","73811d3c22046d354593f58ee9aa99cd"
"syn55263237","HSIL (61).jpg","1","image/jpeg","142487","3489646","1712373632376","3489646","1712373632376","syn55262661","https://www.synapse.org/#!Synapse:syn55263237.1","0b4235a36410890a7f5ec652cecd7420"
"syn55263233","HSIL (57).jpg","1","image/jpeg","143669","3489646","1712373625610","3489646","1712373625610","syn55262661","https://www.synapse.org/#!Synapse:syn55263233.1","d46bc3c69ffc7c7bc4e229b5971f253a"
"syn55262987","LSIL (77).jpg","1","image/jpeg","143896","3489646","1712372061935","3489646","1712372061935","syn55262661","https://www.synapse.org/#!Synapse:syn55262987.1","3fbcfc395cc3fcbdded1029b3d10f91e"
"syn55263232","HSIL (56).jpg","1","image/jpeg","144373","3489646","1712373624194","3489646","1712373624194","syn55262661","https://www.synapse.org/#!Synapse:syn55263232.1","090f128f6d212e3d35c8994262401783"
"syn55263245","HSIL (69).jpg","1","image/jpeg","149480","3489646","1712373645598","3489646","1712373645598","syn55262661","https://www.synapse.org/#!Synapse:syn55263245.1","3a8bf015e17c56a9fdfd34541c9ae6c1"
"syn55263244","HSIL (68).jpg","1","image/jpeg","150131","3489646","1712373643943","3489646","1712373643943","syn55262661","https://www.synapse.org/#!Synapse:syn55263244.1","12af2ddad2fc5bf9d1fcace69f2487b7"
"syn55263239","HSIL (63).jpg","1","image/jpeg","151658","3489646","1712373635622","3489646","1712373635622","syn55262661","https://www.synapse.org/#!Synapse:syn55263239.1","3faf8aa9cbec266907ff9e142bd4dbf7"
"syn55263225","HSIL (49).jpg","1","image/jpeg","157478","3489646","1712373612438","3489646","1712373612438","syn55262661","https://www.synapse.org/#!Synapse:syn55263225.1","a76576e180c6efcde5f909e4866c92d6"
"syn55262996","LSIL (86).jpg","1","image/jpeg","158184","3489646","1712372075834","3489646","1712372075834","syn55262661","https://www.synapse.org/#!Synapse:syn55262996.1","68980c945367e3c907f890bca70e670b"
"syn55263226","HSIL (50).jpg","1","image/jpeg","160038","3489646","1712373614101","3489646","1712373614101","syn55262661","https://www.synapse.org/#!Synapse:syn55263226.1","4c9750e5121d329a1921cc154399e39d"
"syn55262983","LSIL (73).jpg","1","image/jpeg","160170","3489646","1712372055848","3489646","1712372055848","syn55262661","https://www.synapse.org/#!Synapse:syn55262983.1","8351c2e0cde7ce8eb4bf66efa4d0aa84"
"syn55263218","HSIL (42).jpg","1","image/jpeg","160270","3489646","1712373601413","3489646","1712373601413","syn55262661","https://www.synapse.org/#!Synapse:syn55263218.1","e939cd96b5cb025fe85bda58b71d6882"
"syn55263230","HSIL (54).jpg","1","image/jpeg","161168","3489646","1712373621191","3489646","1712373621191","syn55262661","https://www.synapse.org/#!Synapse:syn55263230.1","c775dbe5ae155a8ce8b2ec812198bd40"
"syn55263240","HSIL (64).jpg","1","image/jpeg","161730","3489646","1712373637324","3489646","1712373637324","syn55262661","https://www.synapse.org/#!Synapse:syn55263240.1","2f709b6b1091839730000eb47f0a4bfd"
"syn55262991","LSIL (81).jpg","1","image/jpeg","161923","3489646","1712372068577","3489646","1712372068577","syn55262661","https://www.synapse.org/#!Synapse:syn55262991.1","dfc3699454effed124540bdaf04d310d"
"syn55263372","HSIL (178).jpg","1","image/jpeg","165485","3489646","1712373819234","3489646","1712373819234","syn55262661","https://www.synapse.org/#!Synapse:syn55263372.1","1fdbff03c114b1bb6ce2a3dfca5b8ff4"
"syn55262993","LSIL (83).jpg","1","image/jpeg","170652","3489646","1712372071299","3489646","1712372071299","syn55262661","https://www.synapse.org/#!Synapse:syn55262993.1","2ddd7bb131f6eb5fa998a2cebebca9d0"
"syn55262944","LSIL (34).jpg","1","image/jpeg","171033","3489646","1712371994676","3489646","1712371994676","syn55262661","https://www.synapse.org/#!Synapse:syn55262944.1","ca6c92597b9022d185c35c9844353798"
"syn55263219","HSIL (43).jpg","1","image/jpeg","172817","3489646","1712373603055","3489646","1712373603055","syn55262661","https://www.synapse.org/#!Synapse:syn55263219.1","8b87abf0ebd33a57ebcfb43096af75b2"
"syn55263220","HSIL (44).jpg","1","image/jpeg","173625","3489646","1712373604360","3489646","1712373604360","syn55262661","https://www.synapse.org/#!Synapse:syn55263220.1","73959667f0b63f0eef02fb1e7c522dd7"
"syn55263196","HSIL (22).jpg","1","image/jpeg","176408","3489646","1712373571351","3489646","1712373571351","syn55262661","https://www.synapse.org/#!Synapse:syn55263196.1","2b2c7c57bc600fe9dea451e878b6d5c7"
"syn55263210","HSIL (35).jpg","1","image/jpeg","176472","3489646","1712373590499","3489646","1712373590499","syn55262661","https://www.synapse.org/#!Synapse:syn55263210.1","55e756f839ce46d95d0e2df92b72257c"
"syn55263215","HSIL (39).jpg","1","image/jpeg","180220","3489646","1712373596788","3489646","1712373596788","syn55262661","https://www.synapse.org/#!Synapse:syn55263215.1","11fd2cca25c06460bb5313645072eee7"
"syn55263000","LSIL (90).jpg","1","image/jpeg","180295","3489646","1712372081827","3489646","1712372081827","syn55262661","https://www.synapse.org/#!Synapse:syn55263000.1","b3b20c217e2f717b1298316fd30cc28e"
"syn55262946","LSIL (36).jpg","1","image/jpeg","182478","3489646","1712371997928","3489646","1712371997928","syn55262661","https://www.synapse.org/#!Synapse:syn55262946.1","a66791b7021f3df82de80745257e50b8"
"syn55263234","HSIL (58).jpg","1","image/jpeg","182872","3489646","1712373627356","3489646","1712373627356","syn55262661","https://www.synapse.org/#!Synapse:syn55263234.1","b9ca853fb1170a421abd7a9fbd6c1daa"
"syn55263235","HSIL (59).jpg","1","image/jpeg","183316","3489646","1712373628949","3489646","1712373628949","syn55262661","https://www.synapse.org/#!Synapse:syn55263235.1","6f2dbb33c8fa4663648490e2b3fdee8c"
"syn55262955","LSIL (45).jpg","1","image/jpeg","183772","3489646","1712372012138","3489646","1712372012138","syn55262661","https://www.synapse.org/#!Synapse:syn55262955.1","2c36285f281d2055e7e2f679c9ae99a8"
"syn55263224","HSIL (48).jpg","1","image/jpeg","186647","3489646","1712373610613","3489646","1712373610613","syn55262661","https://www.synapse.org/#!Synapse:syn55263224.1","7dacf448a1542743576fb179aaa28c17"
"syn55263198","HSIL (24).jpg","1","image/jpeg","187278","3489646","1712373574357","3489646","1712373574357","syn55262661","https://www.synapse.org/#!Synapse:syn55263198.1","2d2da50f32accc04dc060c51b5efb399"
"syn55263201","HSIL (27).jpg","1","image/jpeg","188139","3489646","1712373578997","3489646","1712373578997","syn55262661","https://www.synapse.org/#!Synapse:syn55263201.1","b610e19be8825dd79d84db3f583c45d5"
"syn55263231","HSIL (55).jpg","1","image/jpeg","188448","3489646","1712373622853","3489646","1712373622853","syn55262661","https://www.synapse.org/#!Synapse:syn55263231.1","c1aca4e0b0d999aa291f5763c1ed1185"
"syn55262929","LSIL (19).jpg","1","image/jpeg","188595","3489646","1712371970219","3489646","1712371970219","syn55262661","https://www.synapse.org/#!Synapse:syn55262929.1","34f8c3ad3989c7b08c0209db53c62fe4"
"syn55263228","HSIL (52).jpg","1","image/jpeg","188893","3489646","1712373617759","3489646","1712373617759","syn55262661","https://www.synapse.org/#!Synapse:syn55263228.1","a6e34ef21df7686b7a8c0d3ed377471b"
