filepath,filename,label,is_annotated,split
/mnt/c/Users/Admin/Documents/cytology/cytology_data/HSIL (145).JPG,HSIL (145).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/NIL (130).JPG,NIL (130).JPG,NIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/HSIL (186).JPG,HSIL (186).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/NIL (29).jpg,NIL (29).jpg,NIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/HSIL (79).JPG,HSIL (79).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/NIL (102).JPG,NIL (102).JPG,NIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/LSIL (123).JPG,LSIL (123).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/LSIL (196).jpg,LSIL (196).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/HSIL (175).JPG,HSIL (175).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/NIL (70).JPG,NIL (70).JPG,NIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/LSIL (167).JPG,LSIL (167).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/NIL (43).jpg,NIL (43).jpg,NIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/HSIL (124).JPG,HSIL (124).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/NIL (173).JPG,NIL (173).JPG,NIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/NIL (104).JPG,NIL (104).JPG,NIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/NIL (27).jpg,NIL (27).jpg,NIL,False,train
/mnt/c/Users/Admin/Documents/cytology/cytology_data/LSIL (142).JPG,LSIL (142).JPG,LSIL,False,train
