filepath,filename,label,is_annotated,split
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (145).JPG,HSIL (145).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (130).JPG,NIL (130).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (186).JPG,HSIL (186).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (29).jpg,NIL (29).jpg,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (79).JPG,HSIL (79).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (102).JPG,NIL (102).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (123).JPG,LSIL (123).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (196).jpg,LSIL (196).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (175).JPG,HSIL (175).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (70).JPG,NIL (70).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (167).JPG,LSIL (167).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (43).jpg,NIL (43).jpg,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (124).JPG,HSIL (124).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (173).JPG,NIL (173).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (104).JPG,NIL (104).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (27).jpg,NIL (27).jpg,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (142).JPG,LSIL (142).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (115).JPG,LSIL (115).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (187).jpg,NIL (187).jpg,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (120).JPG,NIL (120).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (151).JPG,NIL (151).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (3).JPG,HSIL (3).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (158).JPG,LSIL (158).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (87).jpg,LSIL (87).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (58).jpg,LSIL (58).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (130).JPG,LSIL (130).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (155).JPG,LSIL (155).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (109).jpg,LSIL (109).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (24).jpg,LSIL (24).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (138).JPG,NIL (138).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (59).jpg,LSIL (59).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (163).JPG,LSIL (163).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (63).JPG,NIL (63).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (116).JPG,LSIL (116).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (22).jpg,NIL (22).jpg,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (122).JPG,HSIL (122).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (197).jpg,NIL (197).jpg,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (111).JPG,LSIL (111).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (184).jpg,NIL (184).jpg,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (48).jpg,HSIL (48).jpg,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (197).jpg,LSIL (197).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (200).JPG,HSIL (200).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (199).jpg,LSIL (199).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (99).JPG,NIL (99).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (180).jpg,LSIL (180).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (159).JPG,HSIL (159).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (128).JPG,HSIL (128).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (195).jpg,NIL (195).jpg,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (161).JPG,NIL (161).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (199).jpg,NIL (199).jpg,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (27).jpg,HSIL (27).jpg,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (147).JPG,NIL (147).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (45).jpg,NIL (45).jpg,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (40).jpg,HSIL (40).jpg,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (101).jpg,LSIL (101).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (107).jpg,LSIL (107).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (8).jpg,LSIL (8).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (149).JPG,NIL (149).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (173).JPG,LSIL (173).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (76).JPG,HSIL (76).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (24).jpg,HSIL (24).jpg,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (183).JPG,HSIL (183).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (107).JPG,HSIL (107).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (95).jpg,LSIL (95).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (90).jpg,LSIL (90).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (187).JPG,HSIL (187).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (135).JPG,NIL (135).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (11).jpg,LSIL (11).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (1).jpg,LSIL (1).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (54).jpg,NIL (54).jpg,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (149).JPG,HSIL (149).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (68).jpg,LSIL (68).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (87).JPG,NIL (87).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (57).jpg,HSIL (57).jpg,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (195).jpg,LSIL (195).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (164).JPG,LSIL (164).JPG,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (193).jpg,NIL (193).jpg,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (164).JPG,NIL (164).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/LSIL/LSIL (17).jpg,LSIL (17).jpg,LSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/NILM/NIL (126).JPG,NIL (126).JPG,NILM,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (97).JPG,HSIL (97).JPG,HSIL,False,train
/mnt/c/Users/Admin/Documents/cytology/data/cropped_raw/HSIL/HSIL (168).JPG,HSIL (168).JPG,HSIL,False,train
